id;name;type;code;date;start_time;end_time
1;Unit Ball Dynamic;REGULAR;Internal neural;2021-07-04T14:10:08;2021-07-04;2021-07-03
2;Romania Pants;EX_REGULAR;invoice;2021-07-04T05:07:43;2021-07-04;2021-07-03
3;olive turn-key;EX_REGULAR;system;2021-07-03T23:30:47;2021-07-03;2021-07-04
4;holistic Shoes Nevada;REGULAR;capacitor;2021-07-04T13:28:09;2021-07-04;2021-07-03
5;blue payment overriding;EX_REGULAR;bricks-and-clicks Bedfordshire;2021-07-04T09:25:53;2021-07-03;2021-07-04
6;Pound;REGULAR;Rubber Corner;2021-07-04T09:46:59;2021-07-04;2021-07-04
7;Secured Metrics;EX_REGULAR;Gold Suriname;2021-07-04T00:26:09;2021-07-04;2021-07-03
8;Village Multi-tiered Japan;REGULAR;Wooden;2021-07-03T18:29:41;2021-07-03;2021-07-04
9;Vermont Awesome approach;EX_REGULAR;hacking;2021-07-04T09:32:35;2021-07-04;2021-07-04
10;deposit;REGULAR;management bus Handmade;2021-07-04T09:09:29;2021-07-03;2021-07-04
