id;name;code;start_date;end_date
1;Administrator holistic engine;disintermediate blue;2021-07-04;2021-07-04
2;Pants explicit;Kenyan Account Computers;2021-07-04;2021-07-03
3;transmit;Chips panel;2021-07-04;2021-07-03
4;Plastic Handmade;Card syndicate South;2021-07-04;2021-07-03
5;Corners South Principal;Intuitive;2021-07-04;2021-07-04
6;Monitored Marketing overriding;conglomeration recontextualize CFP;2021-07-04;2021-07-04
7;black;Nakfa responsive;2021-07-03;2021-07-03
8;Unbranded;Lead Tuna;2021-07-03;2021-07-04
9;Planner Shoes Avon;Forges Avon firewall;2021-07-04;2021-07-03
10;Leone grey payment;Specialist Awesome Phased;2021-07-03;2021-07-03
